id,name,constellation,search,wikistatus,ra,dec,Hipparcos,Draper,BrightStar,hascat,s0_absmag_v,s0_appmag_v,s0_class,s0_constell,s0_dist_ly,s0_dist_pc,s0_gravity,s0_luminosity,s0_mass,s0_metal_fe,s0_parallax,s0_radial_v,s0_radius,s0_rotational_velocity,s0_temperature,s0_variable,s1_absmag_v,s1_appmag_v,s1_class,s1_constell,s1_dist_ly,s1_dist_pc,s1_gravity,s1_luminosity,s1_mass,s1_metal_fe,s1_parallax,s1_radial_v,s1_radius,s1_rotational_velocity,s1_temperature,s1_variable,s2_absmag_v,s2_appmag_v,s2_class,s2_constell,s2_dist_ly,s2_dist_pc,s2_gravity,s2_luminosity,s2_mass,s2_metal_fe,s2_parallax,s2_radial_v,s2_radius,s2_rotational_velocity,s2_temperature,s2_variable,s3_absmag_v,s3_appmag_v,s3_class,s3_constell,s3_dist_ly,s3_dist_pc,s3_gravity,s3_luminosity,s3_mass,s3_metal_fe,s3_parallax,s3_radial_v,s3_radius,s3_rotational_velocity,s3_temperature,s3_variable,s4_absmag_v,s4_appmag_v,s4_class,s4_constell,s4_dist_ly,s4_dist_pc,s4_gravity,s4_luminosity,s4_mass,s4_metal_fe,s4_parallax,s4_radial_v,s4_radius,s4_rotational_velocity,s4_temperature,s4_variable,s5_absmag_v,s5_appmag_v,s5_class,s5_constell,s5_dist_ly,s5_dist_pc,s5_gravity,s5_luminosity,s5_mass,s5_metal_fe,s5_parallax,s5_radial_v,s5_radius,s5_rotational_velocity,s5_temperature,s5_variable,s6_absmag_v,s6_appmag_v,s6_class,s6_constell,s6_dist_ly,s6_dist_pc,s6_gravity,s6_luminosity,s6_mass,s6_metal_fe,s6_parallax,s6_radial_v,s6_radius,s6_rotational_velocity,s6_temperature,s6_variable,s7_absmag_v,s7_appmag_v,s7_class,s7_constell,s7_dist_ly,s7_dist_pc,s7_gravity,s7_luminosity,s7_mass,s7_metal_fe,s7_parallax,s7_radial_v,s7_radius,s7_rotational_velocity,s7_temperature,s7_variable,s8_absmag_v,s8_appmag_v,s8_class,s8_constell,s8_dist_ly,s8_dist_pc,s8_gravity,s8_luminosity,s8_mass,s8_metal_fe,s8_parallax,s8_radial_v,s8_radius,s8_rotational_velocity,s8_temperature,s8_variable,s9_absmag_v,s9_appmag_v,s9_class,s9_constell,s9_dist_ly,s9_dist_pc,s9_gravity,s9_luminosity,s9_mass,s9_metal_fe,s9_parallax,s9_radial_v,s9_radius,s9_rotational_velocity,s9_temperature,s9_variable
197,KAUS MEDIA,Sagittarii,Delta Sagittarii,cache,4.8039928436,-0.5205985832,89931,168454,6859,yes,&minus;1.99,2.7,K3 III,[[Sagittarius (constellation),,,0.74 ± 0.10,2500,3.35 ± 0.34, ,9.38,–19.9,129,,"3,600 ± 300", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,KEID,Eridani,Omicron2 Eridani,cache,1.113834222,-0.1335678175,19849,26965,1325,yes,5.92 / 11.01 / 12.66,,K1V,[[Eridanus (constellation),16.45±0.07,5.04±0.02, ,0.46,0.84,,198.26±0.84,-43,0.81,,5300, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,KEPLER'S STAR,1604,SN 1604,cache,4.5845436127,-0.374954901,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,KHAMBALIA,Virginis,Lambda Virginis,cache,3.7485745342,0.2333699135,69974,125337,,yes,,4.52,,[[Virgo (constellation),187 ± 10,57 ± 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,KITALPHA,Equulei,Alpha Equulei,cache,5.5668294601,0.0915963336,104987,202447,8131,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,KLEEIA,Tauri,Delta3 Tauri,cache,1.1472703672,0.306174384,20455,27697,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,KOCHAB,Ursae Minoris,Beta Ursae Minoris,cache,3.8864356047,1.2942577023,72607,131873,,yes, ,2.08,K4 III,[[Ursa Minor]],,,1.83,390 ± 25,2.2 ± 0.3,–0.29,24.91,16.96,42.06 ± 0.91,8,4030, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,KORNEPHOROS,Herculis,Beta Herculis,cache,4.320649797,0.3750644727,80816,148856,6148,yes,−0.49 ± 0.10,2.81,G7 IIIa,[[Hercules (constellation),,,2.5,151,2.9,–0.27,23.44,−25.5,17,3,4887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,KRAZ,Corvi,Beta Corvi,cache,3.2916353253,-0.4083505031,61359,109379,4786,yes,–0.61,2.647,G5 II,[[Corvus (constellation),,,2.52 ± 0.03,164,3.7 ± 0.1,–0.01,22.39,−7.6,16,8,"5,100 ± 80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,KULLAT NUNU,Piscium,Eta Piscium,cache,0.3991713443,0.2678353181,7097,9270,437,yes,,3.62,,[[Pisces (constellation),294,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,KUMA,Draconis,Nu Draconis,cache,4.5909845001,0.9631467312,85819,159541,,yes,,,A6 V,[[Draco (constellation),,,,,,,33.06,–15.2,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,LA SUPERBA,Canum Venaticorum,Y Canum Venaticorum,cache,3.3385116081,0.7930820724,62223,110914,,yes,,,C5,,,,,4400,3,,,,215,,2800,Semi-regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,LESATH,Scorpii,Upsilon Scorpii,cache,4.5848226559,-0.6509347423,85696,158408,,yes, ,2.7,B2 IV,[[Scorpius]],,, , ,11.4 ± 0.5, ,5.66,8,6.1, ,"22,831 ± 169", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,LUCIDA ANSERIS,Vulpeculae,Alpha Vulpeculae,cache,5.0994375586,0.43048546,95771,183439,7405,yes,-0.36,4.44,,[[Vulpecula]],297,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,LUCIDA OPPIDI,Sagittarii,Pi Sagittarii,cache,5.0167913411,-0.3669312845,94141,178524,7264,yes, ,2.89,F2 II,[[Sagittarius (constellation),,,2.21 ± 0.05, ,5.9 ± 0.3, ,6.4,–9.8, ,30,"6,590 ± 50", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,LUCY,Centauri,V886 Centauri,cache,3.3110299446,-0.8691797853,,,,no,,14,DAV4.4,[[Centaurus (constellation),,,8.81 &plusmn; 0.05,0.001,1.1,,61,−12,,,11730 &plusmn; 350,DAV (ZZ Ceti),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,LUYTEN'S STAR,273,GJ 273,not found,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,MAASYM,Herculis,Lambda Herculis,cache,4.5847115933,0.4557167299,85693,158899,,yes, ,4.402,K4III,[[Hercules (constellation),,,1.89,,,,8.88,&minus;26.51,,8,4070, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,THE MAGNIFICENT SEVEN,J1856,RX J1856.5-3754 et. al.,not found,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,MAIA,Tauri,20 Tauri,cache,0.9853552053,0.4252974446,17573,23408,,yes,-1.03,3.871,B8III,[[Taurus (constellation),,,,660,4+,,9.06,7.5,5.5,,12600,Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,MARFAK,Herculis,Kappa Herculis,cache,4.2240258935,0.2975259334,79043,145001,6008,yes,-0.22,5.1628,G8III ,[[Hercules (constellation),,,,150,3.4,,8.4,-11,~16,10,4990, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,MARFARK,Cassiopeiae,Theta Cassiopeiae,cache,0.310246819,0.9625442343,5542,6961,,yes,,4.34,,[[Cassiopeia (constellation),137 ± 4,42 ± 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,MARFIK,Ophiuchi,Lambda Ophiuchi,cache,4.3236767325,0.0346259894,80883,148857,,yes, ,3.9,A0V+,[[Ophiuchus]] ,,,,,,,19.63,–13.5,,138,,Suspected ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,MARKAB,Puppis,k¹ Puppis,cache,6.0421592245,0.2653819752,113963,218045,8781,yes, ,2.48,B9 III ,[[Pegasus (constellation),,,3.51 ± 0.03,74,2.6,−0.02 ± 0.10,24.46,–2.2,4.72 ± 0.14,125,"9,765 ± 63", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,MARKAB,Puppis,k² Puppis,cache,6.0421592245,0.2653819752,113963,218045,8781,yes, ,2.48,B9 III ,[[Pegasus (constellation),,,3.51 ± 0.03,74,2.6,−0.02 ± 0.10,24.46,–2.2,4.72 ± 0.14,125,"9,765 ± 63", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,MARKAB,Pegasi,Alpha Pegasi,cache,6.0421592245,0.2653819752,113963,218045,8781,yes, ,2.48,B9 III ,[[Pegasus (constellation),,,3.51 ± 0.03,74,2.6,−0.02 ± 0.10,24.46,–2.2,4.72 ± 0.14,125,"9,765 ± 63", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,MARKAB,Velorum,Kappa Velorum,cache,6.0421592245,0.2653819752,113963,218045,8781,yes, ,2.48,B9 III ,[[Pegasus (constellation),,,3.51 ± 0.03,74,2.6,−0.02 ± 0.10,24.46,–2.2,4.72 ± 0.14,125,"9,765 ± 63", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,MATAR,Pegasi,Eta Pegasi,cache,5.9472194204,0.5274602303,112158,215182,,yes,–1.18,2.95,G2 II + F0 V,[[Pegasus (constellation),,,2.4,247,3.82 ± 0.52,0.39,19.51,4.3,18,1.4,5450, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,MEBSUTA,Geminorum,Epsilon Geminorum,cache,1.7624862938,0.4386208833,32246,48329,,yes, ,3.06,G8 Ib,[[Gemini (constellation),,,0.88 ± 0.05,8500,19.2 ± 0.1,0.15 ± 0.07,3.86,+8.09 ± 0.14,140 ± 35,8.7 ± 1.0,"4,662 ± 36", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,MEGREZ,Ursae Majoris,Delta Ursae Majoris,cache,3.208901322,0.9954069205,59774,106591,4660,yes, ,3.312,A3 V,[[Ursa Major]],,,4.49,14,1.63, ,55.82,-20.2,1.4,233,"9,480 ± 570", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,MEISSA,Orionis,Lambda Orionis,cache,1.4623152133,0.1733837282,26207,36862,1880,yes,–4.25 / -1.94,3.54 / 5.61,O8 III + B0.5 V,[[Orion (constellation),,, , ,27.9 ± 3.3, ,2.97,33.5,10, ,"35,046 ± 454", ,,,,,,, , ,,,,,,, ,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,MEKBUDA,Geminorum,Zeta Geminorum,cache,1.8505239396,0.3590194335,34088,52973,,yes,,3.93 (3.68 to 4.16),G0Ibv,[[Gemini (constellation),"1,183 ± 29(σ",363 ± 9(σ,1.9,2900,7.7 ± 0.3,0.16,,6.7,(65.24 ± 0.20) ± 4.17,19,"5,260–5,780",Classical [[Cepheid variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,MENKALINAN,Aurigae,Beta Aurigae,cache,1.5687399602,0.7844806889,28360,40183,,yes,0.55/0.76,1.9,A1m IV + A1m IV,[[Auriga (constellation),,,3.93,48,2.389 ± 0.013, ,40.21,–18.2,2.77,33,9350,[[Eclipsing binary,,,,,,,,48,,,,,2.63,,9200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,MENKAR,Ceti,Alpha Ceti,cache,0.7953445817,0.0713794072,14135,18884,,yes,–3.2 ± 0.3,2.53,M1.5 IIIa,[[Cetus]] ,,,0.9 ± 0.1,1455 ± 328,2.3 ± 0.2,0.00 ± 0.30,13.09,–26.08 ± 0.02,89 ± 5,6.9,"3,795 ± 70",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,MENKENT,Centauri,Theta Centauri,cache,3.6943491557,-0.6347754592,68933,117440,,yes,0.87,2.06,K0 III,[[Centaurus]],,,2.75,60, ,0.03,55.45,1.3,10.6, ,4980, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,MENKIB,Persei,Xi Persei,cache,1.0426815918,0.6246713598,,24912,,yes,&minus;4.70 ,4.042,O7.5IIIe,[[Perseus (constellation),,,,,,,1.84,70.1,,,,slightly variable ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,MERAK,Ursae Majoris,Beta Ursae Majoris,cache,2.8878273465,0.9840589754,53910,95418,4295,yes, ,2.37,A1 V,[[Ursa Major]],,,3.83,63.015 ± 1.307,2.7, ,40.9,-12,3.021 ± 0.038,46,9377 ± 75,Suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,MERGA,Boötis,38 Boötis,cache,3.8803541649,0.8048779771,72487,130945,5533,yes,,5.76,,[[Boötes]],153 ± 4,47 ± 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,MEROPE,Tauri,23 Tauri,cache,0.9875344816,0.4179777034,17608,23480,,yes,−1.07,4.113,B6IVe,[[Taurus (constellation),,,4, , , ,9.08,6.2,5.1, ,"13,360 ± 340",[[Beta Cephei variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,MESARTHIM,Arietis,Gamma Arietis,cache,0.4953691505,0.3367413,8832,11502,545,yes, ,3.86 (4.58/4.64),B9 V + A1p Si,[[Aries (constellation),,,, , , ,19.88,3.7,1.9,54,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,MIAPLACIDUS,Carinae,Beta Carinae,cache,2.4137887164,-1.2167948176,45238,80007,,yes, ,1.68,A1 III–,[[Carina (constellation),,,3.16,288,3.5,–0.36,28.82,–5.2,6.8,145.7 ± 2.2,8866, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,MIMOSA,Crucis,Beta Crucis,cache,3.3498154344,-1.0417655979,62434,111123,,yes,,1.25,B0.5 III,[[Crux]],,,3.6 ± 0.1,34000,16,–0.08,11.71,15.6,8.4 ± 0.6,35,"27,000 ± 1,000",[[Beta Cephei]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,MINARUJA,Hydrae,Sigma Hydrae,cache,2.2635029625,0.0583182377,42402,73471,6,yes,,4.44,,[[Hydra (constellation),353,108.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,MINKAR,Corvi,Epsilon Corvi,cache,3.185769888,-0.3947894141,59316,105707,,yes,–1.82{{+-,3.024,K2 III,[[Corvus (constellation),,,2.16, ,3.2,–0.13,10.26,4.9,52,1,4320, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,MINTAKA,Orionis,Delta Orionis,cache,1.448652368,-0.0052214433,25930,36486,,yes,−4.99,2.23 (3.2/3.3) / 6.85 / 14.0,O9.5 II + B0.5III,[[Orion (constellation),,,3.5,90000,20,,3.56,16,15.8,,"31,802 ± 418",[[Eclipsing binary]],,,,,,,,90000,,,,,,,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,MIRA,Ceti,Omicron Ceti,cache,0.6080139592,-0.0519695812,10826,14386,,yes, ,3.04,M7 IIIe,[[Cetus]],,,,"8,400–9,360",1.18,,10.91,63.8,332–402,,2918–3192,[[Mira variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,MIRACH,Andromedae,Beta Andromedae,cache,0.3042635307,0.6216960122,5447,6860,337,yes,–1.76,2.05,M0 III,[[Andromeda (constellation),,,1.52,1995,3&ndash;4,–0.05,16.52,0.06 ± 0.13,100,7.2,3842,[[Semiregular variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,MIRAM,Persei,Eta Persei,cache,0.7448047139,0.9755614817,13268,17506,834,yes,,3.76,,[[Perseus (constellation),1331,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,MIRFAK,Persei,Alpha Persei,cache,0.8915265512,0.8702417478,15863,27084,1017,yes,–5.1,1.806,F5 Ib,[[Perseus (constellation),,,1.90 ± 0.04, ,7.3 ± 0.3,–0.02,6.44,–2.04,31 ± 7,20,"6,350 ± 100", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
