id,name,constellation,search,wikistatus,ra,dec,Hipparcos,Draper,BrightStar,hascat,s0_absmag_v,s0_appmag_v,s0_class,s0_constell,s0_dist_ly,s0_dist_pc,s0_gravity,s0_luminosity,s0_mass,s0_metal_fe,s0_parallax,s0_radial_v,s0_radius,s0_rotational_velocity,s0_temperature,s0_variable,s1_absmag_v,s1_appmag_v,s1_class,s1_constell,s1_dist_ly,s1_dist_pc,s1_gravity,s1_luminosity,s1_mass,s1_metal_fe,s1_parallax,s1_radial_v,s1_radius,s1_rotational_velocity,s1_temperature,s1_variable,s2_absmag_v,s2_appmag_v,s2_class,s2_constell,s2_dist_ly,s2_dist_pc,s2_gravity,s2_luminosity,s2_mass,s2_metal_fe,s2_parallax,s2_radial_v,s2_radius,s2_rotational_velocity,s2_temperature,s2_variable,s3_absmag_v,s3_appmag_v,s3_class,s3_constell,s3_dist_ly,s3_dist_pc,s3_gravity,s3_luminosity,s3_mass,s3_metal_fe,s3_parallax,s3_radial_v,s3_radius,s3_rotational_velocity,s3_temperature,s3_variable,s4_absmag_v,s4_appmag_v,s4_class,s4_constell,s4_dist_ly,s4_dist_pc,s4_gravity,s4_luminosity,s4_mass,s4_metal_fe,s4_parallax,s4_radial_v,s4_radius,s4_rotational_velocity,s4_temperature,s4_variable,s5_absmag_v,s5_appmag_v,s5_class,s5_constell,s5_dist_ly,s5_dist_pc,s5_gravity,s5_luminosity,s5_mass,s5_metal_fe,s5_parallax,s5_radial_v,s5_radius,s5_rotational_velocity,s5_temperature,s5_variable,s6_absmag_v,s6_appmag_v,s6_class,s6_constell,s6_dist_ly,s6_dist_pc,s6_gravity,s6_luminosity,s6_mass,s6_metal_fe,s6_parallax,s6_radial_v,s6_radius,s6_rotational_velocity,s6_temperature,s6_variable,s7_absmag_v,s7_appmag_v,s7_class,s7_constell,s7_dist_ly,s7_dist_pc,s7_gravity,s7_luminosity,s7_mass,s7_metal_fe,s7_parallax,s7_radial_v,s7_radius,s7_rotational_velocity,s7_temperature,s7_variable,s8_absmag_v,s8_appmag_v,s8_class,s8_constell,s8_dist_ly,s8_dist_pc,s8_gravity,s8_luminosity,s8_mass,s8_metal_fe,s8_parallax,s8_radial_v,s8_radius,s8_rotational_velocity,s8_temperature,s8_variable,s9_absmag_v,s9_appmag_v,s9_class,s9_constell,s9_dist_ly,s9_dist_pc,s9_gravity,s9_luminosity,s9_mass,s9_metal_fe,s9_parallax,s9_radial_v,s9_radius,s9_rotational_velocity,s9_temperature,s9_variable
177,HEAD OF HYDRUS,Hydri,Alpha Hydri,cache,0.5182315005,-1.0745967712,9236,12311,591,yes,1.153,2.9,F0 IV,[[Hydrus]],,,3.73,32,2,0.11,45.43,7,1.8,118,7077, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,HECATEBOLUS,Sagittarii,Tau Sagittarii,cache,5.004470483,-0.4829399679,93864,177716,7234,yes, ,3.326,K1 III,[[Sagittarius (constellation),,,2.75, , ,–0.23,26.82,45.4,16, ,4860, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,HERSCHEL'S GARNET STAR,Cephei,Mu Cephei,cache,5.6876252175,1.0259053391,107259,206936,,yes,&minus;7.63,4.08,M1I,[[Cepheus (constellation),"approx. 6,000","approx. 1,800",,3.7 × 10,19.2 ± 0.1,,0.55,20.63,650,,3690 ± 50,[[Mu Cephei variable]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,HEZE,Virginis,Zeta Virginis,cache,3.5547696216,-0.0103990048,66249,118098,,yes,1.64 ± 0.05,3.376,A3 V,[[Virgo (constellation),,,4.12,17.885 ± 0.252,2.041 ± 0.024, ,44.03,–13.2,2.079 ± 0.025,222,"8,247 ± 52", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,HIND'S CRIMSON STAR,Leporis,R Leporis,cache,1.3072769679,-0.2584178996,23203,31996,1607,yes,2,5.5 to 11.7,"C7,6e(N6e)",[[Lepus (constellation),,,,,,,2.42,32.4 ± 2,500,,,[[Mira variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,HOEDUS I,Aurigae,Zeta Aurigae,cache,1.3198097911,0.7169086316,23453,32068,1612,yes, ,3.751,K5 Ib-II + B5–7 V,[[Auriga (constellation),,,1.33,3254,4.94 ± 0.79,–0.26,4.15,12.8, ,68,3920,[[Algol variable]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,HOEDUS II,Aurigae,Eta Aurigae,cache,1.337423507,0.7196773672,23767,32630,1641,yes, ,3.18,B3 V,[[Auriga (constellation),,,4.13 ± 0.04,955,5.4 ± 0.3, ,13.4,7.3,3.25 ± 0.18,95,"17,201 ± 173", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,HOMAM,Pegasi,Zeta Pegasi,cache,5.9404986876,0.1890429522,112029,214923,,yes, ,3.414,B8 V,[[Pegasus (constellation),,,3.67 ± 0.05, , , ,15.96,7,4.03 ± 0.22,140,"11,190 ± 55",SPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,HYDROBIUS,Hydrae,Zeta Hydrae,cache,2.3360960159,0.1037696919,43813,76294,,yes,–0.24,3.1,G9 II-III,[[Hydra (constellation),,,2.48,132,4.2,–0.21,19.51,22.8,17.9,2.5,4925, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,INNES' STAR,40,LHS 40,not found,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
