id,name,designation,greek,constellation,search,wikistatus,ra,dec,appmag_v,class,mass,radius
128,"DABIH MINOR",,,Capricorni,"Beta2 Capricorni","not found",,,,,,
129,DALIM,,,Fornacis,"Alpha Fornacis",cache,0.838087304592872,-0.505929377380001,3.85,F8IV,"1.33 ± 0.01",
130,DELTA,,,Andromedae,"Delta Andromedae",cache,0.171600421535791,0.538626440067082,3.28,"K3 III",~1.8,
131,DELTOTUM,,,Trianguli,"Beta Trianguli",cache,0.565241394890852,0.610643529992762,+3.00,A5III,,
132,DENEB,,,Cygni,"Alpha Cygni",cache,5.41676750546352,0.790289933439844,1.25,"A2 Ia","19 ± 4",
133,"DENEB AL OKAB",,,Aquilae,"Zeta Aquilae",cache,4.99779452954792,0.241963324272643,2.983,"A0 Vn",2.37,
134,"DENEB ALGEDI",,,Capricorni,"Delta Capricorni",cache,5.70304108104026,-0.28147425901852,2.81,"A7m III",2.0,
135,"DENEB KAITOS",,,Ceti,"Beta Ceti",cache,0.190195139024364,-0.313925501291918,2.02,"K0 III",2.8,
136,"DENEB KAITOS SHEMALI",,,Ceti,"Iota Ceti",cache,,,,,,
137,DENEBAKRAB,,,Scorpii,"Mu1 Scorpii",cache,4.4151180379218,-0.664052059544832,+3.04,"B1.5 V + B6.5 V","8.49 ± 0.05",
138,DENEBOLA,,,Leonis,"Beta Leonis",cache,3.0938563233881,0.254330391861207,2.113,"A3 V",1.75,
139,DIADEM,,,"Comae Berenices","Alpha Comae Berenices",cache,3.44697266555626,0.305946293738554,"4.29 to 4.35","A: F5V / B: F5V",,
140,DIPTERA,,,Muscae,"Beta Muscae",cache,3.34352754620595,-1.18871086571247,"3.05 (3.51 + 4.01)","B2 V + B3 V",7.35,
141,"THE DOUBLE DOUBLE",,,Lyrae,"Epsilon Lyrae",cache,4.90585475007201,0.692374266838895,,"F1V / A8V",,
142,DSCHUBBA,,,Scorpii,"Delta Scorpii",cache,4.19024502980215,-0.394823259390362,2.307,"B0.3 IV","19.7 ± 0.1,",
143,DUBHE,,,"Ursae Majoris","Alpha Ursae Majoris",cache,2.89605911773623,1.07775887193131,1.79,"K1 II-III",,
144,DZIBAIN,,,Draconis,"Psi1 Draconis","not found",,,,,,
145,EKKHYSIS,,,Aquarii,"Lambda Aquarii",cache,5.98916091710818,-0.132288947864969,3.722,"M2.5 IIIa Fe–1",3.6,
146,"EL NATH",,,Tauri,"Beta Tauri",cache,1.42371695076379,0.499297460743863,1.68,B7III,"5.0 ± 0.1",
147,"EL REHLA",,,Puppis,"Tau Puppis",cache,1.78868384584243,-0.883390855741611,+2.95,"K1 III",,
148,ELECTRA,,,Tauri,"17 Tauri",cache,,,,,,
149,ELTANIN,,,Draconis,"Gamma Draconis",cache,4.69758058017539,0.898650756629547,2.3617,"K5 III",1.72,
150,ELVASHAK,,,Lyncis,"Alpha Lyncis",cache,2.44806431250852,0.600263451398864,+3.13,"K7 III",,
151,ENIF,,,Pegasi,"Epsilon Pegasi",cache,5.69058465889657,0.172351414411495,2.399,"K2 Ib","11.7 ± 0.8",
152,ERRAI,,,Cephei,"Gamma Cephei",cache,6.19307177623755,1.35493885304505,3.22,,"1.40 ± 0.12",
153,FIEHT,,,Ophiuchi,"Zeta Ophiuchi",cache,4.35092685988758,-0.18443053951932,2.569,"O9.5 V",20.0,
154,FOMALHAUT,,,"Piscis Austrini","Alpha Piscis Austrini",cache,6.0111354916004,-0.51700555194205,"1.16 ","A3 V ",{{val,
155,"FOO PIH",,,Hydri,"Gamma Hydri",cache,0.991517229822521,-1.29571434634289,,,,
156,FORAMEN,,,Carinae,"Eta Carinae",cache,2.81460456373019,-1.04169132829476,"−0.8 to 7.9","BIae-0 / OI","120 / 30",
157,"FUM AL FARAS",,,Pegasi,"Nu Pegasi",cache,5.78436669448449,0.0882880624733642,,,,
158,"FUM AL SAMAKAH",,,Piscium,"Beta Piscium",cache,6.03830106871435,0.0666715774261834,+4.53,,,
159,FURUD,,,"Canis Majoris","Zeta Canis Majoris",cache,1.65942938510781,-0.524704733537273,+3.025,"B2.5 V","7.7 ± 0.2",
160,GACRUX,,,Crucis,"Gamma Crucis",cache,3.27757995389733,-0.996813620999847,+1.63,"M3.5 III","1.3 ± 0.1",
161,GATRIA,,,"Trianguli Australis","Gamma Trianguli Australis",cache,4.00949994692389,-1.19868420550527,+2.87,"A1 V"," ",
162,GEMINGA,,,B0633,"PSR B0633+17","not found",,,,,,
163,GIAUSAR,,,Draconis,"Lambda Draconis",cache,,,,,,
164,GIENAH,,,Cygni,"Epsilon Cygni",cache,5.43762290720785,0.592892831429024,2.480,"K0 III",~2,
165,"GIENAH GURAB",,,Corvi,"Gamma Corvi",cache,3.21056012510773,-0.306164443411388,2.585,"B8 III",4.2{{+-,
166,GIRTAB,,,Scorpii,"Kappa Scorpii",cache,4.63597811666653,-0.681201711801855,2.39,"B1.5 III",17,
167,GOMEISA,,,"Canis Minoris","Beta Canis Minoris",cache,1.95106297299162,0.144675853059737,2.89,"B8 Ve",3.5,
168,"GORGONEA QUARTA",,,Persei,"Omega Persei",cache,0.834660081534988,0.69135400553582,+4.63,,,
169,"GORGONEA SECUNDA",,,Persei,"Pi Persei",cache,0.779994914921483,0.692246062709062,+4.7,,,
170,"GORGONEA TERTIA",,,Persei,"Rho Persei",cache,0.807985185559721,0.677890701977029,+3.39,"M4 II",5.0,
171,GRAFFIAS,,,Scorpii,"Beta Scorpii",cache,4.21251446385431,-0.345670360820479,,"B0.5V + B2V",10,
172,GRUID,,,Gruis,"Beta Gruis",cache,5.94575864086491,-0.818290227358532,2.146,"M5 III",2.4,
173,GRUMIUM,,,Draconis,"Xi Draconis",cache,4.68415316155565,0.992614872237237,3.75,"K2 III","1.45 ± 0.17",
174,HADAR,,,Centauri,"Beta Centauri",cache,3.68187425701805,-1.05370824308066,0.60,"B1 III","10.7 ± 0.1",
175,HAMAL,,,Arietis,"Alpha Arietis",cache,0.554898761366428,0.409496436822164,2.00,"K2 III Ca-1","1.5 ± 0.2",
176,HATSYA,,,Orionis,"Iota Orionis",cache,1.46360270635965,-0.103147230432092,2.77,"O9 III + B0.8 III/IV",,
177,"HEAD OF HYDRUS",,,Hydri,"Alpha Hydri",cache,0.518231500539878,-1.07459677117419,+2.90,"F0 IV",2.0,
178,HECATEBOLUS,,,Sagittarii,"Tau Sagittarii",cache,5.00447048302275,-0.482939967861833,+3.326,"K1 III"," ",
179,"HERSCHEL'S GARNET STAR",,,Cephei,"Mu Cephei",cache,5.68762521753036,1.02590533911298,+4.08,M1I,"19.2 ± 0.1",
180,HEZE,,,Virginis,"Zeta Virginis",cache,3.55476962158842,-0.0103990047503811,+3.376,"A3 V","2.041 ± 0.024",
181,"HIND'S CRIMSON STAR",,,Leporis,"R Leporis",cache,1.30727696792334,-0.258417899639873,"5.5 to 11.7","C7,6e(N6e)",,
182,"HOEDUS I",,,Aurigae,"Zeta Aurigae",cache,1.31980979112782,0.71690863162984,3.751,"K5 Ib-II + B5–7 V","4.94 ± 0.79",
183,"HOEDUS II",,,Aurigae,"Eta Aurigae",cache,1.3374235070404,0.719677367171258,3.18,"B3 V","5.4 ± 0.3",
184,HOMAM,,,Pegasi,"Zeta Pegasi",cache,5.94049868755664,0.189042952161641,+3.414,"B8 V"," ",
185,HYDROBIUS,,,Hydrae,"Zeta Hydrae",cache,2.33609601592799,0.103769691928728,3.10,"G9 II-III",4.2,
186,"INNES' STAR",,,40,"LHS 40","not found",,,,,,
187,JABBAH,,,Scorpii,"Nu Scorpii",cache,4.24112826573057,0.33965561684853,"''combined'': +4.00",,,
188,"JABHAT AL AKRAB",,,Scorpii,"Omega Scorpii",cache,4.21848989089116,0.360745011976795,"+3.93 ",,,
189,JIH,,,Pegasi,"Kappa Pegasi",cache,5.69259020655895,0.447590307235458,4.159,F5IV,1.55/1.66/0.81,
190,"JUXTA CRUCEM",,,Crucis,"Epsilon Crucis",cache,3.23479323564629,-1.05419826075182,3.56,K3III,"1.42 ± 0.22",
191,KABDHILINAN,,,Aurigae,"Iota Aurigae",cache,1.295879414493,0.578857637773486,2.69,"K3 II","7.1 ± 0.7",
192,KAFFALJIDHMA,,,Ceti,"Gamma Ceti",cache,0.712533510558925,0.0564756499761044,3.47,"A3 V + F3 V + K5"," ",
193,KAJAM,,,Herculis,"Omega Herculis",cache,4.29968793822036,0.244926756625071,4.5821,"B9p Cr",,
194,"KAPTEYN'S STAR",,,Pictoris,"VZ Pictoris","not found",,,,,,
195,"KAUS AUSTRALIS",,,Sagittarii,"Epsilon Sagittarii",cache,4.81785911072742,-0.600124769475755,+1.85,"B9.5 III","3.515 ± 0.138",
196,"KAUS BOREALIS",,,Sagittarii,"Lambda Sagittarii",cache,4.83443408957236,-0.443692340274304,+2.82,"K0 IV",2.6,
197,"KAUS MEDIA",,,Sagittarii,"Delta Sagittarii",cache,4.80399284361168,-0.520598583218128,+2.70,"K3 III","3.35 ± 0.34",
198,KEID,,,Eridani,"Omicron2 Eridani",cache,1.11383422203774,-0.133567817512193,,K1V,"0.84 ",
199,"KEPLER'S STAR",,,1604,"SN 1604",cache,4.58454361267611,-0.374954900970115,,,,
200,KHAMBALIA,,,Virginis,"Lambda Virginis",cache,3.74857453420212,0.233369913538886,+4.52,,,
201,KITALPHA,,,Equulei,"Alpha Equulei",cache,5.56682946010895,0.0915963335857057,"+3.92 ",,,
202,KLEEIA,,,Tauri,"Delta3 Tauri",cache,1.14727036718282,0.306174384031105,"+3.77 ",,,
203,KOCHAB,,,"Ursae Minoris","Beta Ursae Minoris",cache,3.88643560472297,1.2942577023062,2.08,"K4 III","2.2 ± 0.3",
204,KORNEPHOROS,,,Herculis,"Beta Herculis",cache,4.32064979704964,0.375064472740555,2.81,"G7 IIIa",2.9,
205,KRAZ,,,Corvi,"Beta Corvi",cache,3.29163532525587,-0.4083505030863,2.647,"G5 II","3.7 ± 0.1",
206,"KULLAT NUNU",,,Piscium,"Eta Piscium",cache,0.399171344341536,0.267835318128963,+3.62,,,
207,KUMA,,,Draconis,"Nu Draconis",cache,4.59098450011673,0.96314673120731,,"A6 V",,
208,"LA SUPERBA",,,"Canum Venaticorum","Y Canum Venaticorum",cache,3.33851160810762,0.79308207239209,"+4.8 to +6.3",C5,3,
209,LESATH,,,Scorpii,"Upsilon Scorpii",cache,4.58482265591691,-0.650934742299937,2.70,"B2 IV","11.4 ± 0.5",
210,"LUCIDA ANSERIS",,,Vulpeculae,"Alpha Vulpeculae",cache,5.09943755863008,0.430485460004401,+4.44,,,
211,"LUCIDA OPPIDI",,,Sagittarii,"Pi Sagittarii",cache,5.01679134108011,-0.366931284483561,+2.89,"F2 II","5.9 ± 0.3",
212,LUCY,,,Centauri,"V886 Centauri",cache,3.31102994459392,-0.86917978525735,14.0,DAV4.4,1.10,
213,"LUYTEN'S STAR",,,273,"GJ 273","not found",,,,,,
214,MAASYM,,,Herculis,"Lambda Herculis",cache,4.5847115933444,0.455716729917532,4.402,K4III,,
215,"THE MAGNIFICENT SEVEN",,,J1856,"RX J1856.5-3754 et. al.","not found",,,,,,
216,MAIA,,,Tauri,"20 Tauri",cache,0.985355205272015,0.425297444562164,3.871,B8III,4+,
217,MARFAK,,,Herculis,"Kappa Herculis",cache,4.22402589347336,0.29752593336976,5.1628,"G8III ",3.4,
218,MARFARK,,,Cassiopeiae,"Theta Cassiopeiae",cache,0.310246818952425,0.962544234338062,+4.34,,,
219,MARFIK,,,Ophiuchi,"Lambda Ophiuchi",cache,4.32367673247968,0.0346259894256708,3.90,A0V+,,
220,MARKAB,,,Puppis,"k¹ Puppis",cache,6.04215922447286,0.265381975218909,2.48,"B9 III ",2.6,
221,MARKAB,,,Puppis,"k² Puppis",cache,6.04215922447286,0.265381975218909,2.48,"B9 III ",2.6,
222,MARKAB,,,Pegasi,"Alpha Pegasi",cache,6.04215922447286,0.265381975218909,2.48,"B9 III ",2.6,
223,MARKAB,,,Velorum,"Kappa Velorum",cache,6.04215922447286,0.265381975218909,2.48,"B9 III ",2.6,
224,MATAR,,,Pegasi,"Eta Pegasi",cache,5.94721942036231,0.527460230271501,+2.95,"G2 II + F0 V","3.82 ± 0.52",
225,MEBSUTA,,,Geminorum,"Epsilon Geminorum",cache,1.76248629378148,0.438620883252465,+3.06,"G8 Ib","19.2 ± 0.1",
226,MEGREZ,,,"Ursae Majoris","Delta Ursae Majoris",cache,3.20890132200785,0.995406920529325,+3.312,"A3 V",1.63,
227,MEISSA,,,Orionis,"Lambda Orionis",cache,1.46231521333148,0.173383728182681,"3.54 / 5.61","O8 III + B0.5 V","27.9 ± 3.3",
228,MEKBUDA,,,Geminorum,"Zeta Geminorum",cache,1.85052393956506,0.359019433549355,"3.93 (3.68 to 4.16)",G0Ibv,"7.7 ± 0.3",
229,MENKALINAN,,,Aurigae,"Beta Aurigae",cache,1.56873996023524,0.784480688897347,+1.90,"A1m IV + A1m IV","2.389 ± 0.013",
230,MENKAR,,,Ceti,"Alpha Ceti",cache,0.795344581728951,0.0713794072187109,2.53,"M1.5 IIIa","2.3 ± 0.2",
231,MENKENT,,,Centauri,"Theta Centauri",cache,3.69434915565353,-0.634775459188851,+2.06,"K0 III"," ",
232,MENKIB,,,Persei,"Xi Persei",cache,1.04268159175132,0.624671359813297,4.042,O7.5IIIe,"40 ",
233,MERAK,,,"Ursae Majoris","Beta Ursae Majoris",cache,2.88782734649569,0.984058975416497,+2.37,"A1 V",2.7,
234,MERGA,,,Boötis,"38 Boötis",cache,3.88035416493291,0.804877977104429,+5.76,,,
235,MEROPE,,,Tauri,"23 Tauri",cache,0.987534481553697,0.417977703364088,4.113,B6IVe," ",
236,MESARTHIM,,,Arietis,"Gamma Arietis",cache,0.495369150506442,0.336741300000507,"3.86 (4.58/4.64)","B9 V + A1p Si"," ",
237,MIAPLACIDUS,,,Carinae,"Beta Carinae",cache,2.4137887163531,-1.21679481762553,1.68,"A1 III–",3.5,
238,MIMOSA,,,Crucis,"Beta Crucis",cache,3.34981543444824,-1.0417655978722,1.25,"B0.5 III",16,
239,MINARUJA,,,Hydrae,"Sigma Hydrae",cache,2.26350296250101,0.0583182377006661,4.44,,,
240,MINKAR,,,Corvi,"Epsilon Corvi",cache,3.18576988801865,-0.39478941406247,+3.024,"K2 III",3.2,
241,MINTAKA,,,Orionis,"Delta Orionis",cache,1.44865236797616,-0.0052214433455497,"2.23 (3.2/3.3) / 6.85 / 14.0
 ","O9.5 II + B0.5III
 ",20,
242,MIRA,,,Ceti,"Omicron Ceti",cache,0.608013959248879,-0.0519695812147347,3.04,"M7 IIIe",1.18,
243,MIRACH,,,Andromedae,"Beta Andromedae",cache,0.304263530661734,0.621696012195028,2.05,"M0 III",3&ndash;4,
244,MIRAM,,,Persei,"Eta Persei",cache,0.744804713878147,0.975561481675853,+3.76,,,
245,MIRFAK,,,Persei,"Alpha Persei",cache,0.891526551212557,0.870241747809204,1.806,"F5 Ib","7.3 ± 0.3",
246,MIZAR,,,"Ursae Majoris","Zeta Ursae Majoris",cache,3.50778454727385,0.958626939794697,"2.23 ","A2 V/A2 V/A1 V ",,
247,MOTHALLAH,,,Trianguli,"Alpha Trianguli",cache,0.493412368070584,0.516247934087394,+3.42,F5III,1.70,
248,MUHLIFAIN,,,Centauri,"Gamma Centauri",cache,3.32274620023622,-0.854510959513149,+2.17,A1IV+,2.91,
249,MULIPHEIN,,,"Canis Majoris","Gamma Canis Majoris",cache,1.84899453735758,0.272853139728447,+4.11,,,
250,MUPHRID,,,Boötis,"Eta Boötis",cache,3.64199883377136,0.321100801465167,2.680,"G0 IV","1.71 ± 0.05",
251,MURZIM,,,"Canis Majoris","Beta Canis Majoris",cache,1.66984269646751,-0.313389901438457,1.985,"B1 II-III","13.5 ± 0.5",
252,MUSCIDA,,,"Ursae Majoris","Omicron Ursae Majoris",cache,2.22644894180276,1.05973197986158,+3.35,"G4 II–III",3.09,
253,MUSCIDA,,,"Ursae Majoris","Pi1 Ursae Majoris",cache,2.22644894180276,1.05973197986158,+3.35,"G4 II–III",3.09,
254,MUSCIDA,,,"Ursae Majoris","Pi2 Ursae Majoris",cache,2.22644894180276,1.05973197986158,+3.35,"G4 II–III",3.09,
255,MYIA,,,Muscae,"Alpha Muscae",cache,3.30383685297061,-1.20664323559804,+2.69,"B2 IV-V","8.8 ± 0.1",
256,NAOS,,,Puppis,"Zeta Puppis",cache,2.11003761581419,-0.698187939184741,"2.21
 ",O4If(n)p,22.5,
257,NASHIRA,,,Capricorni,"Gamma Capricorni",cache,5.67271686231481,-0.290812131702882,+3.69,F0p,,
258,NAVI,,,Cassiopeiae,"Gamma Cassiopeiae",cache,0.247436861036096,1.05970719085325,2.47,"B0.5 IVe","19.3 ± 0.1",
259,NEKKAR,,,Boötis,"Beta Boötis",cache,3.93548201687668,0.704948377988486,3.488,G8IIIa,"3.4 ± 0.2",
260,NEMBUS,,,Andromedae,"51 Andromedae",cache,0.427573669035658,0.848722587169252,3.57,K3III,2.3,
261,NIHAL,,,Leporis,"Beta Leporis",cache,1.43224068504492,-0.362320597293132,2.84,"G5 II","3.5 ± 0.1",
262,NUNKI,,,Sagittarii,"Sigma Sagittarii",cache,4.95352996029774,-0.458964418227468,2.05,"B2.5 V","7.8 ± 0.2",
263,NUSAKAN,,,"Coronae Borealis","Beta Coronae Borealis",cache,4.04841706732874,0.507990344579082,"3.65 to 3.72","A9SrEuCr / ?",,
264,OKUL,,,Capricorni,"Pi Capricorni",cache,5.3551937438942,0.317853545609034,+5.08,,,
265,"PAE CHAOU",,,Delphini,"Epsilon Delphini",cache,5.38090826154025,0.197280383117092,+4.03,B6III," ",
266,PEACOCK,,,Pavonis,"Alpha Pavonis",cache,5.34789659864977,-0.990214117067173,1.94,"B2 IV","6.3 ± 0.2",
267,"PENNAE CAUDALIS",,,Cygni,"Pi2 Cygni",cache,5.70196230466513,0.860614581953187,"+4.23 ",,,
268,PEREGRINI,,,Velorum,"Mu Velorum",cache,2.82206495689176,-0.862546197953266,2.69,"G5III + G2V",3.30,
269,"THE PERSIAN",,,Indi,"Alpha Indi",cache,5.39990558939901,-0.825392395812054,3.11,"K0 III-IV",2.0,
270,PHACT,,,Columbae,"Alpha Columbae",cache,1.48199841268027,-0.594705404338588,2.645,"B7 IV",4.5,
271,PHAD,,,"Ursae Majoris","Gamma Ursae Majoris",cache,3.11467439108529,0.937150348220014,+2.438,"A0 Ve",2.62,
272,"PHERKAD MAJOR",,,"Ursae Minoris","Gamma Ursae Minoris",cache,4.01743639972835,1.25374010382656,+3.05,"A3 Iab:",,
273,"PHERKAD MINOR",,,"Ursae Minoris","11 Ursae Minoris",cache,4.00159564308426,1.25356334269768,5.024,K4III,"1.8 ± 0.25",
274,PHORBACEUS,,,Ophiuchi,"72 Ophiuchi",cache,4.74446085983113,0.166917471896564,"+3.71 ",,,
275,"PIAZZI'S FLYING STAR",,,Cygni,"61 Cygni",cache,5.52788995731089,0.676304894364226,,K5V,0.70,
276,"PLASKETT'S STAR",,,2422,"HR 2422","not found",,,,,,
277,PLEIONE,,,Tauri,"28 Tauri",cache,1.00001665457606,0.421265094035998,"5.048 ","B8IVpe ","3.4 ",
278,POLARIS,,,"Ursae Minoris","Alpha Ursae Minoris",cache,0.662431718168709,1.55795264275494,,astro-ph,,
279,"POLARIS AUSTRALIS",,,Octantis,"Sigma Octantis",cache,5.53609712086341,1.55258187679561,5.42,"F0 III",,
280,POLIS,,,Sagittarii,"Mu Sagittarii",cache,4.77244285106373,0.367546947922761,"+3.84 ",,,
281,POLLUX,,,Geminorum,"Beta Geminorum",cache,2.0303233288781,0.489149447429888,1.14,"K0 III","2.04 ± 0.3",
282,PORRIMA,,,Virginis,"Gamma Virginis",cache,3.32337185423095,-0.025296327545812,"2.74 (3.650/3.560","F0 V/F0 V",,
283,PRAECIPUA,,,"Leonis Minoris","46 Leonis Minoris",cache,2.85061026041265,0.597162161306585,3.83,K0+III-IV,,
284,"PRIMA STRUTHIONUM",,,Ceti,"Eta Ceti",cache,0.299279713893843,-0.177714064104991,+3.446,"K1 III","1.0–1.4",
285,"PRIMUS HYADUM",,,Taurii,"Gamma Taurii","not found",,,,,,
286,PRINCEPS,,,Boötis,"Delta Boötis",cache,3.99463417556042,0.581453495543612,,"G8 III",,
287,PROCYON,,,"Canis Minoris","Alpha Canis Minoris",cache,2.00408300388772,0.0911932362201746,0.34,"F5 IV–V","1.42 ± 0.04",
288,"PRZYBYLSKI'S STAR",,,101065,"HD 101065",cache,3.04392988277339,-0.815237848179285,8.02,B5p,"4.0 ± 0.1",
289,PULCHERRIMA,,,Boötis,"Epsilon Boötis",cache,3.86148406212275,0.472534368190948,2.37,"K0 II-III",4.6,
290,"QUARTA STRUTHIONUM",,,Ceti,"Zeta Ceti",cache,,,,,,
291,"QUINTA STRUTHIONUM",,,Ceti,"Upsilon Ceti",cache,0.52362131943447,0.367876621225916,3.99,,,
292,RANA,,,Eridani,"Delta Eridani",cache,0.974104616564119,-0.170403282263742,"3.54 ","K0 IV","1.33 ± 0.07",
293,"RAS ALGETHI",,,Herculis,"Alpha Herculis",cache,4.5144977320294,0.251157727498795,"2.9137 / 5.4","M5IIvar / (G5III+F2V)
 ","2.15 ± 0.22",
294,"RAS ALHAGUE",,,Ophiuchi,"Alpha Ophiuchi",cache,4.6030200644729,0.219214006609703,2.07,"A5 III",2.40{{+-,
295,"RAS ELASED AUSTRALIS",,,Leonis,"Epsilon Leonis",cache,2.55625818622862,0.414939040533508,2.98,"G1 II",4.01,
296,"RAS ELASED BOREALIS",,,Leonis,"Mu Leonis",cache,,,,,,
297,RASTABAN,,,Draconis,"Beta Draconis",cache,4.58337727458684,0.912831436083394,2.79,"G2 Ib–IIa","6.0 ± 0.2",
298,REGOR,,,Velorum,"Gamma Velorum",cache,2.13598848958365,-0.826179288171217,"1.78/4.27
 ","WC8 + O7.5e
 ",9/30,
299,REGULUS,,,Leonis,"Alpha Leonis",cache,,,,,,
300,"REVENANTE OF THE SWAN",,,Cygni,"P Cygni",cache,5.3135968609547,0.663799857528664,4.795,B1Ia+,30,
301,RIGEL,,,Orionis,"Beta Orionis",cache,1.37243035615527,-0.143145593459261,0.12,"B8 Ia",18,
302,"RIGIL KENTAURUS",,,Centauri,"Alpha Centauri",cache,3.83801502982356,-1.06175315112964,,"G2 V",1.100,
303,"RIJL AL AWWA",,,Virginis,"Mu Virginis",cache,3.85307612316528,0.0987565468420125,+3.87,,,
304,ROTANEV,,,Delphini,"Beta Delphini",cache,5.39982627072949,0.254732353308284,"3.617 ± 0.016","F5 III + F5 IV","1.75 ± 0.002",
305,RUCHBA,,,Cygni,"Omega1 Cygni",cache,5.36714497030481,0.854366034644268,,,,
306,RUCHBAH,,,Cassiopeiae,"Delta Cassiopeiae",cache,0.374442317403758,1.05130403215867,2.68,A5III-IVv,2.5,
307,"RUKBALGETHI GENUBI",,,Herculis,"Theta Herculis",cache,4.69603964497766,0.650144556601438,3.851,K1IIaCN,6.5,
308,"RUKBALGETHI SHEMALI",,,Herculis,"Tau Herculis",cache,4.27492487954383,0.808320731168588,3.89,"B5 IV",4.9,
309,RUKBAT,,,Sagittarii,"Alpha Sagittarii",cache,5.07841178293471,-0.708881816342619,+3.97,"B8 V",,
310,RUKH,,,Cygni,"Delta Cygni",cache,5.17042726533971,0.787681229076796,2.87,"B9 III + F1 V",2.6,
311,"THE RUNAWAY STAR",,,1830,"Groombridge 1830",cache,3.11095987810588,0.658315111872903,6.44,G8Vp,0.661,
312,RUTICULUS,,,Herculis,"Zeta Herculis",cache,4.36893443916192,0.551571493799619,2.81,"F9 IV + G7 V","1.45 ± 0.01",
313,SABIK,,,Ophiuchi,"Eta Ophiuchi",cache,4.49587266108347,-0.274451395417326,"2.43 (3.05/3.27)","A1 V + A3 V",2.966,
314,SADACHBIA,,,Aquarii,"Gamma Aquarii",cache,5.8540797786583,-0.0242135495185588,3.849,"A0 V"," ",
315,SADALBARI,,,"and μ Pegasi","Lambda and μ Pegasi","not found",,,,,,
316,SADALMELIK,,,Aquarii,"Alpha Aquarii",cache,5.78482369658637,-0.00558242009846607,2.942,"G2 Ib","6.5 ± 0.3",
317,SADALPHERETZ,,,Pegasi,"Lambda Pegasi",cache,5.96261761895851,0.411298260927604,3.96,G8II-III,"~1,5",
318,SADALSUUD,,,Aquarii,"Beta Aquarii",cache,5.63548865557555,-0.0972353566510687,2.87,"G0 Ib","6.0–6.5",
319,SADIRA,,,Eridani,"Epsilon Eridani",cache,0.929085663651347,-0.165077755238622,3.736,K2V,"0.82 ± 0.02",
