id,name,designation,greek,constellation,search,wikistatus,ra,dec,appmag_v,class,mass,radius
368,THABIT,,,Orionis,"Upsilon Orionis",cache,1.44831784653619,-0.127433276079642,+4.62,"B0 V","20.6 ",
369,"THANIH AL ADZARI",,,"Canis Majoris","Omicron2 Canis Majoris",cache,1.84579273884422,-0.415969422322175,3.043,"B3 Ia","21.4 ± 2.2",
370,THEEMIM,,,Eridani,"Upsilon2 Eridani",cache,1.2023164882666,-0.533413484354648,3.817,G8IIIa,"1.38 ± 0.19",
371,THUBAN,,,Draconis,"Alpha Draconis",cache,3.68434276708171,1.12357055096627,"3.6452 ","A0III ","3.85
  ",
372,"TIEN KWAN",,,Tauri,"Zeta Tauri",cache,1.47325317793654,0.369007006987027,3.010,"B2 IIIpe",11.2,
373,"TORCULARIS SEPTENTRIONALIS",,,Piscium,"Omicron Piscium",cache,0.459865169079639,0.159833374388192,+4.26,,,
374,TRAPEZIUM,,,Orionis,"Theta1 Orionis",cache,,,4.0,?,,
375,TUREIS,,,Puppis,"Rho Puppis",cache,2.12731265349431,-0.424190483543683,2.78,F2mF5IIp,1.85,
376,"TYCHO'S STAR",,,1572,"SN 1572",cache,,,,astro-ph.HE,,
377,TYL,,,Draconis,"Epsilon Draconis",cache,5.18438070437939,1.22640674190904,3.9974,"G8III ",2.7,
378,UKDAH,,,Hydrae,"Tau Hydrae",cache,2.48337808722622,0.0483262277329986,"+4.59 ",,,
379,UNUKALHAI,,,Serpentis,"Alpha Serpentis",cache,4.12014599151698,0.11214837722868,2.623,"K2 III",,
380,URODELUS,,,"Ursae Minoris","Epsilon Ursae Minoris",cache,4.38936489686662,1.43181963696804,+4.21,,,
381,USHAKARON,,,Tauri,"Xi Tauri",cache,0.903949652839163,0.169869017587159,"+3.73 ",,,
382,"VAN BIESBROECK'S STAR",,,Aquilae,"V1298 Aquilae",cache,5.04819178290944,0.0898951223786924,9.13,M8V,"0.075 ±.05",
383,"VAN MAANEN'S STAR",,,35,"Gliese 35","not found",,,,,,
384,VEGA,,,Lyrae,"Alpha Lyrae",cache,4.87356550804775,0.67690306814988,0.03,A0V,"2.135 ± 0.074",
385,VINDIEMATRIX,,,Virginis,"Epsilon Virginis",cache,3.41288938504947,0.191273257992142,+2.826,"G8 III","2.64 ± 0.11",
386,WASAT,,,Geminorum,"Delta Geminorum",cache,1.9203988499399,0.383663791898644,+3.53,"F0 IV",1.57,
387,WAZN,,,Columbae,"Beta Columbae",cache,1.53135136937325,-0.624274773495504,3.105,"K1 IIICN+1","1.10 ± 0.20",
388,WEZEN,,,"Canis Majoris","Delta Canis Majoris",cache,1.86921025556888,-0.460648372976316,1.83,"F8 Ia","16.9 ± 1.6",
389,XESTUS,,,Velorum,"Omicron Velorum",cache,2.27020688342266,-0.923661208455342,+3.60,"B3 IV","5.5 ± 0.4",
390,"YED POSTERIOR",,,Ophiuchi,"Epsilon Ophiuchi",cache,4.26873281060469,-0.0818997424105539,3.220,"G9.5 IIIb","1.85 ± 0.05",
391,"YED PRIOR",,,Ophiuchi,"Delta Ophiuchi",cache,4.25138487706671,-0.0644780922251356,2.75,"M0.5 III",1.5,
392,YILDUN,,,"Ursae Minoris","Delta Ursae Minoris",cache,4.59115404721803,1.51121878555755,4.35,A1Vn,,
393,ZANIAH,,,Virginis,"Eta Virginis",cache,3.22844880600844,-0.0116379984723341,3.890,"A2 V","2.5039 ± 0.1246",
394,ZAURAK,,,Eridani,"Gamma Eridani",cache,1.0385994011667,-0.235768140405603,,"[[M-type star",,
395,ZAVAJAVA,,,Virginis,"Beta Virginis",cache,3.10099325831551,0.0308001695276575,3.604,"F9 V",1.25,
396,ZOSMA,,,Leonis,"Delta Leonis",cache,2.94135258621484,0.358206456274894,2.56,"A4 V",2.2,
397,"ZUBEN ELAKRAB",,,Librae,"Gamma Librae",cache,4.08200078006207,-0.252308675177749,+3.91,,,
398,"ZUBEN ELAKRIBI",,,Librae,"Delta Librae",cache,4.15017479508602,-0.148682659722672,4.43,B9.5V,,
399,ZUBENELGENUBI,,,Librae,"Alpha Librae",cache,3.88635235033599,-0.279204432631176,,"F3 V + kA2hA5mA4 IV-V",1.33{{+-,
400,ZUBENESCHEMALI,,,Librae,"Beta Librae",cache,4.00119740403663,-0.163762750003676,2.61,"B8 V",3.5{{+-,
