59   DEBUG stellarum.wikipedia 212 : Missing field absmag_v
59   DEBUG stellarum.wikipedia 212 : Missing field dist_ly
60   DEBUG stellarum.wikipedia 212 : Missing field dist_pc
60   DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:\[\[Henry Draper Catalogue\|HD\]\](&nbsp;|\s*)(\d+)) - 198001
60   DEBUG stellarum.wikipedia 377 : Matched cat BrightStar - (?^u:\[\[Bright Star Catalogue\|HR\]\](&nbsp;|\s*)(\d+)) - 7950
60   DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:\[\[Hipparcos catalogue\|HIP\]\](&nbsp;|\s*)(\d+)) - 102618
61   DEBUG stellarum.wiki_stars 89 : Star AL HURR Lambda Aurigae
62   DEBUG stellarum.wikipedia 212 : Missing field dist_ly
63   DEBUG stellarum.wikipedia 212 : Missing field dist_pc
63   DEBUG stellarum.wikipedia 377 : Matched cat Draper - (?^u:\[\[Henry Draper Catalogue\|HD\]\](&nbsp;|\s*)(\d+)) - 34411
63   DEBUG stellarum.wikipedia 377 : Matched cat BrightStar - (?^u:\[\[Bright Star Catalogue\|HR\]\](&nbsp;|\s*)(\d+)) - 1729
64   DEBUG stellarum.wiki_stars 89 : Star AL KALB AL RAI Rho2 Cephei
64   DEBUG stellarum.wikipedia 212 : Missing field gravity
64   DEBUG stellarum.wikipedia 212 : Missing field luminosity
65   DEBUG stellarum.wikipedia 212 : Missing field mass
65   DEBUG stellarum.wikipedia 212 : Missing field metal_fe
65   DEBUG stellarum.wikipedia 212 : Missing field radius
65   DEBUG stellarum.wikipedia 212 : Missing field rotational_velocity
65   DEBUG stellarum.wikipedia 212 : Missing field temperature
66   DEBUG stellarum.wikipedia 377 : Matched cat Hipparcos - (?^u:\[\[Hipparcos catalogue\|HIP\]\](&nbsp;|\s*)(\d+)) - 111056
66   DEBUG stellarum.wiki_stars 89 : Star AL KALBAIN Kappa Tauri
67   DEBUG stellarum.wikipedia 212 : Missing field absmag_v
67   DEBUG stellarum.wikipedia 212 : Missing field appmag_v
68   DEBUG stellarum.wikipedia 212 : Missing field class
68   DEBUG stellarum.wikipedia 212 : Missing field constell
68   DEBUG stellarum.wikipedia 212 : Missing field dist_ly
68   DEBUG stellarum.wikipedia 212 : Missing field dist_pc
68   DEBUG stellarum.wikipedia 212 : Missing field gravity
68   DEBUG stellarum.wikipedia 212 : Missing field luminosity
69   DEBUG stellarum.wikipedia 212 : Missing field mass
69   DEBUG stellarum.wikipedia 212 : Missing field metal_fe
69   DEBUG stellarum.wikipedia 212 : Missing field parallax
69   DEBUG stellarum.wikipedia 212 : Missing field radial_v
69   DEBUG stellarum.wikipedia 212 : Missing field radius
70   DEBUG stellarum.wikipedia 212 : Missing field rotational_velocity
70   DEBUG stellarum.wikipedia 212 : Missing field temperature
70   DEBUG stellarum.wikipedia 212 : Missing field variable
